title,agency,category,link
"뉴욕증시, 파월이 쏘아 올린 피벗 신호탄…나스닥 1.47%↑ 마감",연합뉴스,경제,https://v.daum.net/v/20240824062204933
"""내가 살 집, 호텔처럼 예약""…MZ, 따로 또 같이 산다[르포]",뉴스1,경제,https://v.daum.net/v/20240824062004912
"올해 수도권 1순위 청약자 10명 중 8명, '분상제 아파트'로",데일리안,경제,https://v.daum.net/v/20240824061643892
"나스닥 1.5% 랠리…파월 비둘기 등판 ""금리인하 시간이 됐다""[뉴욕마감]",뉴스1,경제,https://v.daum.net/v/20240824061635889
"‘빅컷’ 가능성 남긴 파월…환호한 뉴욕증시, 나스닥 1.5%↑[월스트리트in]",이데일리,경제,https://v.daum.net/v/20240824061250862
"카카오·토스·케이뱅크, 중저신용대출 비중 '30%' 훌쩍… 1위사는",머니S,경제,https://v.daum.net/v/20240824061115853
"""우리 사장님 혹시 낙하산 타고 오시나요?""",머니투데이,경제,https://v.daum.net/v/20240824061103850
[시승기] 편의사양 늘고 덩치 커진 캐스퍼 전기차,조선비즈,경제,https://v.daum.net/v/20240824060726813
"""평생 차 30% 할인해 줘"" 기아 노조 요구…MZ 직원들은 ""이건 아니지""",머니투데이,경제,https://v.daum.net/v/20240824060631807
화재 사각지대 놓인 노후주택…소방시설 관리 미비,쿠키뉴스,경제,https://v.daum.net/v/20240824060237754
"당정, 한은 외압 논란…“아주 무책임”vs“뭐가 문제”",쿠키뉴스,경제,https://v.daum.net/v/20240824060234751
"답답한 비트코인 장세 뚫을 열쇠는…해리스보다는 트럼프, 그리고 파월의 결단 [투자360]",헤럴드경제,경제,https://v.daum.net/v/20240824060231747
[다음주 증시 전망] 3주 만에 2700 회복한 코스피···이제 눈은 엔비디아 실적으로,서울경제,경제,https://v.daum.net/v/20240824060230744
기름값 4주째 하락...국제유가 변동성↑[오일뭐니],파이낸셜뉴스,경제,https://v.daum.net/v/20240824060210735
"""평생 무주택자 될라"" 반드시 잡자...'청약 통장' 대거 몰렸다",파이낸셜뉴스,경제,https://v.daum.net/v/20240824060208732
"[단독] “전기차 안 돼”라던 연안선사들, 해수부 ‘충전률 50% 이하’ 가이드라인 수용",조선비즈,경제,https://v.daum.net/v/20240824060205728
8.8대책에 분위기 달라지나… 신고가 갈아치우는 재건축 단지들,조선비즈,경제,https://v.daum.net/v/20240824060202727
"“일단 살고 보자” 침체 길어진 대형 회계법인, 채용 줄이고 지방 中企 공략도",조선비즈,경제,https://v.daum.net/v/20240824060159722
"""서류 제대로 받았나"" 확인하자 100억대 횡령 덜미…농협銀, 또 터지나",뉴스1,경제,https://v.daum.net/v/20240824060155720
가계부채 잡기 위해 수도권 대출한도 '확' 줄인다[위클리금융],이데일리,경제,https://v.daum.net/v/20240824060154718
