title,agency,category,link
"美연준 '비둘기파' 위원 ""연준, 고용 측면 주의 기울여야 할 때""",연합뉴스,경제,https://v.daum.net/v/20240824030433150
"'잭슨홀' 참석 英 중앙은행 총재 ""인플레 지속 위험 줄고 있어""",연합뉴스,경제,https://v.daum.net/v/20240824024129134
‘김건희 여사 명품백 무혐의’ 결론에… 대통령실 “입장 표명 부적절”,세계일보,정치,https://v.daum.net/v/20240824003431685
임기 20일 남은 檢총장 ‘수심위 카드’ 꺼내… 대검 “공정성 제고”,동아일보,정치,https://v.daum.net/v/20240824014046022
"[단독]공수처, ‘비번 잊었다’던 임성근 폰 기록 일부 복원… 이종호와 소통 여부 조사",동아일보,정치,https://v.daum.net/v/20240824014041020
[날씨] 무더위 속 전국 대부분 지역 소나기,MBC,사회,https://v.daum.net/v/20240824011605927
"파월, 2년전 물가와의 전쟁 선포했던 자리서 사실상 '종전' 선언",연합뉴스,경제,https://v.daum.net/v/20240824012151975
[데일리 헬스] 손톱으로 건강 상태를 알 수 있다?,데일리안,문화,https://v.daum.net/v/20240824010604887
아이슬란드서 2개월 만에 또 화산폭발…블루라군 온천도 운영 중단,문화일보,국제,https://v.daum.net/v/20240823225250742
국민연금·소액주주 표심 흔들…한미 오너 일가 주주환원책 '고심',더팩트,경제,https://v.daum.net/v/20240824000127325
후쿠시마 처리수 방류 1년…침묵하는 민주당과 '괴담 정치' 비판하는 국민의힘,데일리안,정치,https://v.daum.net/v/20240824000000297
생존 가능성 통계조차 없던 400g '초미숙아' 쌍둥이 형제의 '기적'에 '뭉클',서울경제,사회,https://v.daum.net/v/20240823235830291
"파월 ""통화정책 조정 시기 도래""···9월 인하 시사",서울경제,국제,https://v.daum.net/v/20240823232528081
"레인보우로보틱스, 협동로봇·AMR 신제품 공개",지디넷코리아,속보,https://v.daum.net/v/20240823235153240
"[게임스컴 2024] 韓 게임 출품작들, 게임스컴 어워드 아쉽게 수상 불발",아이뉴스24,IT/과학,https://v.daum.net/v/20240823234450203
"파월, 9월 금리 인하 시사…'인플레와의 싸움 궤도에 올랐다는 확신 커져'(상보)",뉴스1,경제,https://v.daum.net/v/20240823232003038
‘김건희 명품백’ 무혐의…용산 친위대로 전락한 검찰 [논썰],한겨레,정치,https://v.daum.net/v/20240823203504870
"""감히 고시엔에서 한국어 교가?"" , 협박도 수차례… 그래도 그들은 행복했다",파이낸셜뉴스,국제,https://v.daum.net/v/20240823212720726
"'법정관리' 지역 중소건설사, 회생 실패..""위기감 고조""",kbc광주방송,경제,https://v.daum.net/v/20240823214216907
설사 때문에 응급실 가면 '병원비 20만원' 내야 할 지도,헬스조선,생활,https://v.daum.net/v/20240823230045841
