author,comment,date,sentiment_class
@SAMSUNGSDS, 채널 구독 EVENT AI의 능력을 모두의 능력으로 만드는 기업 하이퍼오토메이션 엑셀레이터 삼성SDS  AI시대 오피스라이프  httpsyoutubejEciRV3V1k 영상 시청과 함께 유튜브 채널 구독하고 소문내주세요 추첨을 통해  갤럭시탭 S9 FE 갤럭시 워치 6 등 다양한 선물을 드립니다 이벤트 기간참여 기간  2024년  01월 29일 월  2024년 02월 29일 금당첨자 발표  2024년 03월 15일 금 개별 연락STEP 1  AI시대 오피스라이프 브랜드 필름 시청하기 httpsyoutubejEciRV3V1kSTEP 2 삼성SDS  유튜브 채널 구독하고  소문내기STEP 3 구독 화면을 캡쳐해 아래  링크로 제출하면 완료 이벤트 참여 링크  httpsnaverme5K54zUuQ채널 구독하고 캡처한 이미지 제출 완료 시 참여로 인정됩니다추첨 선물  갤럭시탭 S9 FE  WiFi 128GB 1명 갤럭시 워치 6  44mm Bluetooth 2명 도미노피자콜라 기프티콘10명  스타벅스 카페 아메리카노 T 기프티콘100명,2024-01-31 06:34:22,LABEL_1
@user-pw3gk2vn5e,삼성SDS의 생성형 AI 서비스가 오피스와 우리의 라이프에 어떤 새바람을 일으킬지너무너무 기대가 되네요 업무에 능률을 생활에 편리함을 가져다줄 삼성SDS의 최신 AI 기술인 생성형 AI 서비스의 시작을 응원합니다,2024-02-29 06:34:22,LABEL_1
@user-li3hn3lw6q,AI의 능력을 모두의 능력으로 만드는 기업 하이퍼오토메이션 엑셀레이터 삼성SDS  AI시대 오피스라이프 즐겁고 흥미롭게 잘 보았습니다 삼성SDS 2024년 새해에는 부디 꽃길만 걸으시고 소망하시는 모든 일이 이루이 지시기를 진심으로 바라고 응원합니다앞으로도 다양한 연령층에서 더더욱 많은 분들에게 사랑받으시길 응원합니다그리고 더욱더 친근하고 신뢰가는 모습으로 서로가 더 많이 교류하면서 자주 소통하는 사이가 되기를 바래봅니다또한 지금처럼 저희들에게 유용하고 알찬 정보 많이많이 전해주시길 부탁드리고 그 수고에 항상 감사드립니다,2024-02-29 06:34:22,LABEL_1
@user-jc6zw1gf9u,AI시대 오피스라이프 오 멋지네요 삼성 화이팅 노력한데로 이뤄지는 밝은 미래를 꿈꾸며 언제나 우리에게도 희망이 있기를 바라는 마음 담아요 내일의 태양이 지치고 힘들게만 만드는게 아니라 따스함을 담아 우릴 더 힘내게 할거라고 믿고 싶어요 인생에서 가장 큰 실수는 해보지도 않고 하고 싶은 일을 잘 할수 없을까봐 판단하고 자꾸 포기하는 습관과 지금 눈앞에 놓여진 것들에 소홀하고 과거와 미래만 생각하느라 인생 시간을 계속 쓰는 일들이라고 하더라구요 그말에 공감해요 당장 필요한 것들을 하나씩 하면 좋을거 같아요겨울이라 일교차 크니 감기 걸리지 않게 건강 조심하세요,2024-02-29 06:34:22,LABEL_0
@humavv,때와장소를 가리지않는다딱 맞는표현이네요AI는 어디에든 무궁무진한 기능인것같아요삼성SDS의 생성형AI로 업무 효율을 높일수있고 회사내에서 가장핵심적으로 질을 상승시킬수 있을것같습니다인간과 생성형AI로 우리에게 다가올 핵심적인 플랫폼이라고 느꼈어요또한 일상속에서도 매우 유용하게 사용할수있을것같고 점점 편리한 세상이 다가온것같아요,2024-02-29 06:34:22,LABEL_1
@user-hh2gr5cc5t,OpenAI 와 챗gpt가 만든 생성형 AI에서도 삼성SDS는 발군의 능력을 보여주시네요영상미도 너무 좋고 무엇을 말하려고 하는지 잘 알려주는 것 같아요삼성SDS의 생성형 AI 기술 응원하고 기대할게요,2024-02-29 06:34:22,LABEL_1
@jom1494,하이퍼오토메이션 엑셀레이터 삼성SDS의 저력을 믿습니다 인공지능의 능력을 모두의 능력으로 만드는 기업인 삼성SDS의 지속적인 성장과 발전을 기대하고 응원합니다 삼성SDS 화이팅,2024-02-29 06:34:22,LABEL_1
@user-bz9fd3rw1k,삼성SDS만의 생성형 AI 서비스가 너무나 기대되고 AI 시대를 선도할 앞으로의 삼성SDS도 너무나 기대가 되네요 삼성SDS의 AI 기술들이 전세계에서 인정받고 널리 통용되기를 응원합니다 ,2024-02-29 06:34:22,LABEL_0
@ssyeon,우리가 살아가는 시대는 AI 사용해서 더욱 효율적 업무를 볼수 있는 시대가 도래한것 같아요삼성 SDS AI 솔루션에 더욱 관심가지고 응원합니다,2024-02-29 06:34:22,LABEL_1
@sozerotwo,요즘 AI가 대세고 화두인 건 너무 잘 알지만 이렇게 오피스라이프와 접목한 모습을 광고로 보니까 제 일상도 더 멋지고 심플해질 거 같네요ㅋㅋㅋㅋㅋ AI에게 물어보고 시키고 요구하는 뻔뻔한 모습이 재밌고 시원해서 자꾸 보게됩니다,2024-02-29 06:34:22,LABEL_1
